1. Kempegowda Ward
2. Chowdeshwari Ward
3. Attur
4. Yelahanka Satellite Town
5. Jakkur
6. Thanisandra
7. Byatarayanapura
8. Kodigehalli
9. Vidyaranyapura
10. Doddabommasandra
11. Kuvempunagar
12. Shettyhalli
13. Mallasandra
14. Bagalagunte
15. T. Dasarahalli
16. Jalahalli
17. J. P. Park
18. Radhakrishna Temple
19. Sanjaynagar
20. Ganganagar
21. Hebbala
22. Vishwanatha Nagenahalli
23. Nagavara
24. HBR Layout
25. Horamavu
26. Ramamurthynagar
27. Banaswadi
28. Kammanahalli
29. Kacharakanahalli
30. Kadugondanahalli
31. Kushalnagar
32. Kavalbyrasandra
33. Manorayanapalya
34. Gangenahalli
35. Aramanenagar
36. Mathikere
37. Yeshwanthpura
38. H. M. T.
39. Chokkasandra
40. Dodda Bidarkallu
41. Peenya Industrial Area
42. Lakshmidevinagar
43. Nandini Layout
44. Marappana Palya
45. Malleshwaram
46. Jayachamarajendranagar
47. Devarajeevanahalli
48. Muneshwaranagar
49. Lingarajapuram
50. Benniganahalli
51. Vijinapura
52. Krishnarajapuram
53. Basavanapura
54. Hoodi
55. Devasandra
56. A. Narayanapura
57. C. V. Raman Nagar
58. Hosathippasandra
59. Maruthisevanagar
60. Sagayarapuram
61. S. K. Garden
62. Ramaswamypalya
63. Jayamahal
64. Rajamahal
65. Kadumalleshwara
66. Subrahmanyanagar
67. Nagapura
68. Mahalakshmipuram
69. Laggere
70. Rajagopalanagar
71. Hegganahalli
72. Herohalli
73. Kottigepalya
74. Shakthiganapathinagar
75. Shankara Matha
76. Gayathrinagar
77. Dattathreya Temple
78. Pulakeshinagar
79. Sarvagnanagar
80. Hoysalanagar
81. Vignananagar
82. Garudacharpalya
83. Kadugudi
84. Hagadooru
85. Doddanekkundi
86. Marathahalli
87. HAL Airport
88. Jeevanabima Nagar
89. Jogupalya
90. Ulsoor
91. Bharathinagar
92. Shivajinagar
93. Vasanthnagar
94. Gandhinagar
95. Subhashnagar
96. Okalipuram
97. Dayanandanagar
98. Prakashnagar
99. Rajajinagar
100. Basaveshwaranagar
101. Kamakshipalya
102. Vrishabhavathi  
103. Kaveripura
104. Govindarajanagar
105. Agrahara Dasarahalli
106. Dr. Rajkumar
107. Shivanagar
108. Srirama Mandir
109. Chickpete
110. Sampangiramanagar
111. Shanthalanagar
112. Domlur
113. Konena Agrahara
114. Agaram
115. Vannarpet
116. Neelasandra
117. Shanthinagar
118. Sudhamanagar
119. Dharmarayaswamy Temple
120. Cottonpet
121. Binnipete
122. Kempapura Agrahara
123. Vijaynagar
124. Hosahalli
125. Marenahalli
126. Maruthi Mandira
127. Moodalapalya
128. Nagarabhavi
129. Jnanabharathi
130. Ullalu
131. Nayandahalli
132. Attiguppe
133. Hampinagar
134. Bapujinagar
135. Padarayanapura
136. Jagjivanram Nagar
137. Rayapuram
138. Chalavadipalya
139. Krishnarajendra Market
140. Chamarajapet
141. Azadnagar
142. Sunkenahalli
143. Visvesvarapuram
144. Siddapura
145. Hombegowdanagar
146. Lakkasandra
147. Adugodi
148. Ejipura
149. Varthur
150. Bellandur
151. Koramangala
152. Suddaguntepalya
153. Jayanagar
154. Basavanagudi
155. Hanumanthanagar
156. Srinagar
157. Gali Anjaneya Temple
158. Deepanjalinagar
159. Kengeri
160. Rajarajeshwarinagar
161. Hosakerehalli
162. Girinagar
163. Kathriguppe
164. Vidyapeetha
165. Ganesh Mandira
166. Karisandra
167. Yediyur
168. Pattabhiramnagar
169. Byrasandra
170. Jayanagar East
171. Gurappanapalya
172. Madiwala
173. Jakkasandra
174. HSR Layout
175. Bommanahalli
176. BTM Layout
177. J. P. Nagar
178. Sarakki
179. Shakambarinagar
180. Banashankari Temple
181. Kumaraswamy Layout
182. Padmanabhanagar
183. Chikkalasandra
184. Uttarahalli
185. Yelachenahalli
186. Jaraganahalli
187. Puttenahalli
188. Bilekahalli
189. Hongasandra
190. Mangammanapalya
191. Singasandra
192. Begur
193. Arakere
194. Gottigere
195. Konanakunte
196. Anjanapura
197. Vasanthapura
198. Hemmigepura
